DimItem_ItemCode_,DimItem_BPItemCode_,DimItem_ItemDesc_,ItemCategory,ItemGroupCode,ItemGroupDesc,ProductFamilyCode,ProductFamilyDesc,ItemModelGroupCode,OrigCountryRegionId,ItemModelGroupDesc,Sub_Brand,PackagingGroupCode,Grade,UnitCode_Sales,TaxItemGroupCode_Sales,CaseVolume,ContainerVolume,PackSize,PackagingQty,Pkg_or_Bulk,ProductStatus,DimItem_IsPFLItem_,DimItem_CreatedDateTime_,DimItem_ModifiedDateTime_
0001100,GTX5W30BK,"CASTROL GTX 5W30, BULK",LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,CAN,Non Synthetic Motor Oil,GTX,BULK,5W30,LT,EHCP,1,1,,1,Bulk,Active,False,2/6/2014 2:20:00 PM,8/1/2024 12:06:00 PM
0001100R,GTX5W30BK,"CASTROL GTX 5W30, BULK",LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,CAN,Non Synthetic Motor Oil,GTX,BULK,5W30,LT,EHCP,1,1,,1,Bulk,Active,False,2/6/2014 2:20:00 PM,1/27/2026 10:55:00 AM
0001100RBL,0001100RBL,GTX 5W30 Reblend,,FG,Finished Goods,FLSH,Flush,FLSH,,Flush,,BULK,,LT,ALLTAX,1,1,,1,Bulk,Active,False,11/1/2023 2:48:00 PM,1/27/2026 10:55:00 AM
0001105,GTX5W30DR,"CASTROL GTX 5W30, 205L",LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,CAN,Non Synthetic Motor Oil,GTX,DRUM,5W30,DR,EHCPC_DR,205,205,PACK,1,Package,Active,False,2/6/2014 2:20:00 PM,5/7/2024 10:52:00 PM
0001110,0001110,"CASTROL GTX 5W30, 20L",LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,CAN,Non Synthetic Motor Oil,GTX,PAIL,5W30,PL,EHCPC,20,20,PACK,1,Package,Active,False,3/28/2021 11:32:00 AM,5/7/2024 10:53:00 PM
0001114,0001114,"Castrol GTX 5W30, 1X52L",LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,,Non Synthetic Motor Oil,GTX,KEG,5W30,KE,EHCPC_KE55,52,52,PACK,1,Package,Active,False,6/11/2025 11:30:00 AM,10/14/2025 9:52:00 AM
0001131,OBSOLETEGTX5W30CA,OBSOLETE - Castrol GTX 5W30 3X4 L,LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,CAN,Non Synthetic Motor Oil,,CASE,,CA,EHCPC,12,4,,3,Package,Obsolete,False,2/6/2014 2:20:00 PM,6/15/2019 8:30:00 AM
0001138,GTX5W30CA,"CASTROL GTX 5W30, 6X1L",LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,CAN,Non Synthetic Motor Oil,GTX,CASE,5W30,CA,EHCPC,6,1,PACK,6,Package,Active,False,2/6/2014 2:20:00 PM,7/18/2023 3:43:00 PM
000113A,GTX5W30CA,"CASTROL GTX 5W30, 3x5L",LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,CAN,Non Synthetic Motor Oil,GTX,CASE,5W30,CA,EHCPC,15,5,PACK,3,Package,Active,False,2/6/2014 2:20:00 PM,1/27/2026 10:55:00 AM
000113AE,GTX5W30DRP,OBSOLETE Castrol GTX 5W30 Costco DRP - 3 Layer,LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,,Non Synthetic Motor Oil,GTX,DRP,5W30,PLT,EHCPC,480,5,PACK,96,Package,Obsolete,False,12/14/2016 2:34:00 PM,3/31/2022 6:19:00 PM
000113B,GTX5W30CA,Castrol GTX 5W30 4x5 L,LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,CAN,Non Synthetic Motor Oil,,CASE,5W30,CA,EHCPC,20,5,,4,Package,Active,False,12/14/2016 2:36:00 PM,3/13/2023 9:01:00 AM
000113BEOP3,000113BEOP3,Service Fee - Castrol GTX 5W30 3 Layer DRP,,PSI,Sub-Contracted Services,OTHR,Other (Bypass BI),TPSC,,Third Party Sub-Contracting,,PALLET,,PLT,ALLTAX,480,480,,1,Package,Active,False,12/14/2016 2:37:00 PM,9/2/2021 4:30:00 AM
0001142,GTX5W30CA,"CASTROL GTX 5W30, 12x1L",LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,CAN,Non Synthetic Motor Oil,GTX,CASE,5W30,CA,EHCPC,12,1,PACK,12,Package,Active,False,2/6/2014 2:20:00 PM,5/7/2024 10:52:00 PM
0001142C,GTX5W30CA,PROMO - Castrol GTX 5W30 12x1L CASE,LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,CAN,Non Synthetic Motor Oil,GTX,CASE,5W30,CA,EHCPC,12,1,PACK,12,Package,Active,False,2/6/2014 2:20:00 PM,12/11/2023 3:34:00 PM
0001142X,OBSPROMOGTX5W30CA,OBSOLETE PROMO - Castrol GTX 5W30 12x1 (Heritage Case),LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,CAN,Non Synthetic Motor Oil,,CASE,,CA,EHCPC,12,1,,12,Package,Obsolete,False,2/6/2014 2:20:00 PM,6/15/2019 8:30:00 AM
0001159,0001159,OBSOLETE - Castrol GTX Ultraclean 5W30 1X18.93L,LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,CAN,Non Synthetic Motor Oil,GTX,PAIL,5W30,PL,EHCPC,18.93,18.93,PACK,1,Package,Obsolete,False,10/21/2020 12:12:00 PM,4/1/2021 2:05:00 PM
0001189,GTX5W30CA,Obsolete Castrol GTX 5W30 3X4.4L (15A675),LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,CAN,Non Synthetic Motor Oil,GTX,CASE,5W30,CA,EHCPC,13.2,4.4,PACK,3,Package,Obsolete,False,2/6/2014 2:20:00 PM,1/11/2024 11:47:00 AM
0001200,OBSGTX10W40BK,OBSOLETE - Castrol GTX 10W40 Bulk,LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,CAN,Non Synthetic Motor Oil,,BULK,,LT,EHCP,1,1,,1,Bulk,Obsolete,False,2/6/2014 2:20:00 PM,5/17/2021 11:00:00 AM
0001200R,GTX10W40BK,Castrol GTX 10W40 Bulk,LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,CAN,Non Synthetic Motor Oil,GTX,BULK,10W40,LT,EHCP,1,1,,1,Bulk,Active,False,2/6/2014 2:20:00 PM,11/11/2022 11:00:00 AM
0001200RBL,0001200RBL,GTX 10W40 Reblend,,FG,Finished Goods,FLSH,Flush,FLSH,,Flush,,BULK,,LT,ALLTAX,1,1,,1,Bulk,Active,False,11/1/2023 4:45:00 PM,1/27/2026 10:55:00 AM
0001205,GTX10W40DR,Castrol GTX 10W40 1X205L,LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,CAN,Non Synthetic Motor Oil,GTX,DRUM,10W40,DR,EHCPC_DR,205,205,PACK,1,Package,Active,False,9/25/2014 9:22:00 AM,5/7/2024 10:52:00 PM
0001231,OBSOLETECastrolGTX10,OBSOLETE - Castrol GTX 10w40 3x4 L,LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,CAN,Non Synthetic Motor Oil,,CASE,,CA,EHCPC,12,4,,3,Package,Obsolete,False,2/6/2014 2:20:00 PM,6/15/2019 8:32:00 AM
000123A,GTX10W40CA,Castrol GTX 10W40 3X5 L (14A63E),LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,CAN,Non Synthetic Motor Oil,GTX,CASE,10W40,CA,EHCPC,15,5,PACK,3,Package,Active,False,2/6/2014 2:20:00 PM,9/27/2024 4:15:00 PM
0001242,GTX10W40CA,Castrol GTX 10W40 12X1L (14A50D),LUBES,FG,Finished Goods,CCON,Castrol Consumer,NON,CAN,Non Synthetic Motor Oil,GTX,CASE,10W40,CA,EHCPC,12,1,PACK,12,Package,Active,False,2/6/2014 2:20:00 PM,5/7/2024 10:52:00 PM
